PROVINCE,DISTRICT,UNIT_TYPE,UNIT_NAME,popn_2021, popn_highschool_and_equivalent,high_school_per,area_kmsq,lum_count_2021,sum_2021,mean_2021,lum_count_2017,sum_2017,mean_2017,lum_count_2016,sum_2016,mean_2016,lum_count_2015,sum_2015,mean_2015,lum_count_2014,sum_2014,mean_2014,lum_count_2013,sum_2013,mean_2013,lum_count_2012,sum_2012,mean_2012,lisa_total_100_20_21,lisa_governance_management_9_20_21,lisa_organization_administration_8_20_21,lisa_budget_plan_management_11_20_21,lisa_fiscal_economic_management_11_20_21,lisa_service_delivery_16_20_21,lisa_judicial_execution_7_20_21,lisa_physical_infrastructure_13_20_21,lisa_social_inclusion_10_20_21,lisa_environmental_protection_ disaster_management_9_20_21,lisa_cooperation_coordination_6_20_21,lisa_total_100_21_22,lisa_governance_management_9_21_22,lisa_organization_administration_8_21_22,lisa_budget_plan_management_11_21_22,lisa_fiscal_economic_management_11_21_22,lisa_service_delivery_16_21_22,lisa_judicial_execution_7_21_22,lisa_physical_infrastructure_13_21_22,lisa_social_inclusion_10_21_22,lisa_environmental_protection_ disaster_management_9_21_22,lisa_cooperation_coordination_6_21_22,fra_plan_budget_program_management_21_21_22,fra_implementation_capability_management_21_21_22,fra_accounting_reporting_17_20_21,fra_monitoring_evaluation_audit_16_21_22,fra_revenue_management_17_21_22,fra_total_100_21_22,Name of Chairperson,Age at Election,Sex,Political Affiliation
1,BHOJPUR,Gaunpalika,Aamchowk,15237,622,4.08%,184.69,966,336.1849367,0.348017533,966,243.2651033,0.251827229,966,52.44190659,0.054287688,966,146.2183606,0.151364762,966,111.1192188,0.115030247,966,152.5718549,0.157941879,966,50.38976703,0.05216332,51.25,8,4.75,7.5,6.25,9.75,5.5,3,3,3.5,0,60.75,7.5,5,8.5,9.5,11.75,5,6.5,4.5,2.5,0,10,19,8,6.5,8.5,52,Ashok Rai,36,Male,CPN-MC
1,BHOJPUR,Gaunpalika,Arun,14853,760,5.12%,154.76,812,326.4832271,0.40207294,812,213.7064692,0.263185307,812,89.39071051,0.110087082,812,140.6495614,0.173213746,812,98.93431507,0.121840289,812,111.2904636,0.137057221,812,44.77436097,0.055140839,46.5,7.5,2,7,5.5,8.5,5,3,5.5,1.5,1,52.5,7.25,4.75,6.5,5.5,7.5,5,3.5,7.5,2,3,10.5,16.5,7,1.5,2,37.5,Gajendra Bahadur Karki,59,Male,NC
1,BHOJPUR,Nagarpalika,Bhojpur,26126,1803,6.90%,159.51,831,334.1107529,0.402058668,831,228.5456855,0.275024892,831,77.86935604,0.093705603,831,145.0152482,0.174506917,831,110.6038133,0.133097248,831,108.981265,0.131144723,831,59.70309754,0.071844883,45.5,5,3,5,8.25,8.75,5,7,0,1,2.5,39.25,5.25,2,3.5,6,10.25,4,5,1.25,2,0,-,-,-,-,-,N/A,Kailash Kumar Ale,38,Male,NC
1,BHOJPUR,Gaunpalika,Hatuwagadhi,16302,900,5.52%,142.61,747,282.6066526,0.378322159,747,191.5027375,0.256362433,747,68.81496382,0.092121772,747,120.0247599,0.160675716,747,92.93762882,0.124414496,747,109.0294662,0.145956447,747,38.98865917,0.052193654,73,9,8,7,10,15,4,5,5,4,6,60.75,8,6.5,8,8,11.75,4,2.5,7,5,0,12.5,14.5,8,0.5,1,36.5,Prem Kumar Rai,52,Male,CPN-UML
1,BHOJPUR,Gaunpalika,Pauwadungma,12170,541,4.45%,118.86,624,341.096043,0.546628274,624,164.4695163,0.263572943,624,66.93039559,0.107260249,624,101.4380092,0.162560912,624,81.34117755,0.130354451,624,110.5999411,0.177243495,624,33.67978361,0.053974012,61.5,8,6,7,9.5,11,5,5.5,5.5,3,1,77.25,8.5,8,9,10,14.75,6,7,6.5,5.5,2,14.5,24,16,9.5,14.5,78.5,Kiran Rai,35,Male,CPN-UML
1,BHOJPUR,Gaunpalika,Ramprasad Rai,15632,689,4.41%,158.43,824,309.7917947,0.375960916,824,212.176933,0.257496278,824,58.2994575,0.070751769,824,130.7018562,0.158618758,824,88.50596378,0.10741015,824,117.0317092,0.142028773,824,46.44813074,0.056369091,58.25,8,6.25,8,9,10.5,5,3.5,2,5,1,73,8.5,7,9,8.5,12,6,7,5,7,3,15.5,26,10,11,8.5,71,Bijaya Rai,45,Male,CPN-UML
1,BHOJPUR,Gaunpalika,Salpasilichho,12229,762,6.23%,193.33,1012,324.5743437,0.320725636,1012,256.224846,0.253186607,1012,44.62724768,0.044098071,1012,158.5279353,0.156648157,1012,94.41175373,0.093292247,1012,119.5582438,0.118140557,1012,63.59264555,0.062838583,N/A,,,,,,,,,,,72.75,6.5,6,8,8.5,13.25,7,7,10,4.5,2,14,23,13,7,11.5,68.5,Mahesh Rai,44,Male,NC
1,BHOJPUR,Nagarpalika,Shadananda,29777,1646,5.53%,241.15,1256,440.5285544,0.350739295,1256,330.3552896,0.263021727,1256,83.45520886,0.06644523,1256,219.1801446,0.174506485,1256,138.7912186,0.110502563,1256,161.6844856,0.128729686,1256,86.14693389,0.068588323,71.5,7.5,7.5,9,8.75,14.25,6,6.5,7,3.5,1.5,68.25,7.5,8,8.5,9,12,6,8.25,5.5,2.5,1,15,16.5,13,6.5,7,58,Birbal Rai,54,Male,NC
1,BHOJPUR,Gaunpalika,Tyamkemaiyung,15491,843,5.44%,173.41,915,315.0077797,0.344270797,915,236.0147478,0.257939615,915,65.97322171,0.072101882,915,139.8203273,0.152809101,915,85.6481467,0.093604532,915,103.6814754,0.113313088,915,50.16576474,0.054825972,54.25,7,4.75,6.5,6.25,8.5,4,6.5,4,4,2.75,66.5,7.5,5.75,7.5,9,12,6,6,4,5,3.75,11.5,20.5,10,7,9.5,58.5,Dhurwa Raj Rai,35,Male,CPN-UML
1,DHANKUTA,Gaunpalika,Chaubise,17914,1120,6.25%,147.6,778,345.1223459,0.443601987,778,218.6805555,0.281080405,778,61.00700665,0.078415176,778,141.5653467,0.1819606,778,112.4140994,0.14449113,778,108.2032197,0.139078689,778,55.76745177,0.071680529,72.25,8,6.75,8,10.5,12,7,7,7.5,3.5,2,78,8,5,8,10,13.5,7,9,10,5.5,2,12.5,21,11,6,13.5,64,Khajindra Rai,37,Male,CPN-UML
1,DHANKUTA,Gaunpalika,Chhathar Jorpati,16477,1306,7.93%,102.83,529,233.1978208,0.440827639,529,166.1344889,0.314053854,529,67.0108471,0.126674569,529,109.3040428,0.206623899,529,101.1526982,0.19121493,529,97.95623427,0.185172466,529,57.5462999,0.108783176,79.25,8,8,8,9.5,13.5,7,11.25,6,6,2,87,8,8,11,11,15,7,12,7,6,2,19.5,23.5,16,9.5,14,82.5,Sherbahadur Limbu,39,Male,CPN-UML
1,DHANKUTA,Nagarpalika,Dhankuta,36156,3684,10.19%,110.84,582,323.8336518,0.556415209,582,212.7534769,0.365555802,582,88.24869306,0.151630057,582,137.9614503,0.237047165,582,141.780278,0.243608725,582,127.8978218,0.219755708,582,120.1473988,0.206438829,64,8,3.5,5.5,8,11.5,6,7.75,5,6,2.75,66.5,8.5,4.25,5.5,7.5,12.5,5.5,9,5.75,6,2,12.5,21.5,12,10,13.5,69.5,Chintan Tamang,51,Male,CPN-UML
1,DHANKUTA,Gaunpalika,Khalsa Chhintang Shahidbhumi,17784,1058,5.95%,99.55,520,210.070415,0.403981567,520,147.6457877,0.283934207,520,48.96010177,0.094154042,520,97.28850357,0.187093276,520,76.48902651,0.147094282,520,82.13750796,0.157956746,520,45.10176359,0.086734161,57,7.5,5.5,8,9,7.5,6,4,3.5,4,2,62.5,8,4,7,7.75,11.25,6,8.5,5,5,0,15,21.5,11,10,8,65.5,Manoj Rai,40,Male,CPN-UML
1,DHANKUTA,Nagarpalika,Mahalaxmi,22196,1766,7.96%,129.39,679,250.8410416,0.36942716,679,189.0870967,0.278478787,679,57.23884325,0.084298738,679,120.6693462,0.177716268,679,76.10245764,0.112080203,679,93.71752103,0.138022859,679,51.91443979,0.076457201,54.5,7.75,5.5,4.75,6.25,6.5,5,8,5.5,4,1.25,73.25,8,7,9.5,6.75,15,5,6.5,8,5.5,2,9,13,10,3,6.5,41.5,Parshu Ram Nepal,39,Male,CPN-UML
1,DHANKUTA,Nagarpalika,Pakhribas,19256,1185,6.15%,144.29,757,357.5037248,0.472263837,757,214.3749701,0.283190185,757,88.04151482,0.11630319,757,131.7384331,0.174026992,757,106.9747966,0.14131413,757,116.2279659,0.153537604,757,64.97667484,0.085834445,84,8,8,9.5,10,15,7,12,8,4.5,2,75.25,8.5,7,7,8.25,13,6,12,6,6.5,1,16.5,24,12,7.5,9,69,Brisha Bahadur Rai,49,Male,CPN-UML
1,DHANKUTA,Gaunpalika,Sangurigadhi,19601,1255,6.40%,166.44,871,354.3654255,0.406848939,871,254.973937,0.292737011,871,102.2112367,0.117349296,871,167.4377372,0.192236208,871,113.0357639,0.129776996,871,144.7164796,0.166149804,871,75.62353119,0.086823802,48,7.75,2.75,9,8,5.5,3.5,5.5,2.5,2,1.5,67.5,7.25,5.25,9,9.5,10.5,6,10,4,2.5,3.5,16,23.5,15,9.5,14,78,Kumar Jung Yakha,47,Male,CPN-UML
1,ILAM,Gaunpalika,Chulachuli,22856,1618,7.08%,108.46,564,319.2475665,0.566041785,564,167.2762164,0.296589036,564,64.86418685,0.115007423,564,124.3622623,0.220500465,564,117.296332,0.20797222,564,137.4131673,0.243640367,564,46.41547837,0.082296947,69,8,6,6.5,8.5,12,6,8,4.5,5,4.5,77.25,8.5,7,9.5,11,15,7,6.25,5,4.5,3.5,19,24,17,11.5,13,84.5,Pradip Chandra Rai,54,Male,CPN-UML
1,ILAM,Nagarpalika,Deumai,31531,3070,9.74%,191.76,997,370.301921,0.37141617,997,282.3558175,0.283205434,997,74.11347798,0.074336487,997,185.4058555,0.185963747,997,126.7544819,0.12713589,997,145.5471123,0.145985067,997,83.6640823,0.08391583,64.25,9,6,5.5,9.75,13.5,6,6,4.25,2.5,1.75,60.25,8,6,6,8,11.5,4.5,4.75,5,4,2.5,20.5,28,15,14.5,17,95,Surya Prasad Pokhrel,53,Male,CPN-UML
1,ILAM,Gaunpalika,Fakphokthum,20004,1947,9.73%,108.79,569,216.6793004,0.380807206,569,163.1697836,0.286765876,569,45.08277158,0.079231584,569,107.2874765,0.18855444,569,70.32154463,0.123587952,569,81.26540176,0.142821444,569,49.03859531,0.086183823,33,3.25,3.5,1.5,4,7.75,5,4.5,1,2,0.5,60.75,7,5,5.5,7.5,11.75,7,5.5,6.5,4.5,0.5,18.5,24,15,13,11,81.5,Ram Kumar Shrestha,46,Male,NC
1,ILAM,Nagarpalika,Illam,50455,5412,10.73%,173.32,907,412.0168322,0.454263321,907,308.1571713,0.339754323,907,108.7788211,0.119932548,907,205.4068133,0.226468372,907,145.6515745,0.16058608,907,167.2653422,0.184416033,907,127.8457561,0.140954527,86,8.5,7.5,9.5,11,15.5,7,11,6,6,4,93,8.5,8,11,11,16,7,11,9,6.5,5,21,28,17,16,16,98,Mahesh Basnet,57,Male,CPN-UML
1,ILAM,Nagarpalika,Mai,19295,1785,9.25%,264.11,1376,590.5888994,0.429207049,1376,410.8432149,0.298577918,1376,191.12029,0.13889556,1376,299.6340671,0.217757316,1376,316.8253851,0.230251007,1376,324.7860444,0.236036369,1376,136.9661061,0.099539321,48.5,6.5,2.75,7.5,5,8.25,7,1.5,7,2.5,0.5,63.25,9,5.25,5.5,8.25,12.75,6,5,6.5,4.25,0.75,15.5,21,13,8.5,9,67,Deepak Kumar Thebe,56,Male,CPN-UML
1,ILAM,Gaunpalika,Maijogmai,30988,1609,5.19%,135.76,703,290.3172903,0.412969119,703,215.7401551,0.306885,703,62.42422272,0.088796903,703,132.6869344,0.188743861,703,83.86520396,0.119296165,703,93.55680675,0.133082229,703,50.24037335,0.07146568,64.75,8.5,5.25,9,8.75,12.25,7,8.5,2,3,0.5,81.25,9,5.5,9,11,14.75,7,11,6,5,3,15.5,22,10,7,9.5,64,Jit Bahadur Rai,40,Male,CPN-UML
1,ILAM,Gaunpalika,Mangsebung,16897,1343,7.95%,172.41,892,381.5869102,0.427788016,892,240.0744697,0.269141782,892,87.5777989,0.098181389,892,170.7702132,0.191446427,892,158.2350144,0.177393514,892,177.0952103,0.198537231,892,50.197797,0.056275557,51,7.5,5,6,8.75,9.25,7,3,1.5,3,0,57.5,8.5,5.25,6.5,8,10.25,7,4,2.5,5,0.5,15.5,19,15,8,12,69.5,Dikendra Indigo,37,Male,NC
1,ILAM,Gaunpalika,Rong,17555,1302,7.42%,155.06,811,341.0125233,0.420483999,811,238.3080736,0.293844727,811,77.15495673,0.095135582,811,165.5563819,0.204138572,811,116.2077326,0.143289436,811,158.9240566,0.195960612,811,62.95795347,0.077630029,48.25,6.75,2.5,7.5,5.5,10,6,4.5,4.5,0.5,0.5,52,7,4.25,5,5.5,7.75,7,7,5,2,1.5,16,21,14,7.5,11.5,70,Samsher Rai,46,Male,NC
1,ILAM,Gaunpalika,Sandakpur,15460,1167,7.55%,156.01,812,297.1160794,0.365906502,812,244.6127926,0.301247281,812,70.51671772,0.086843248,812,153.0181613,0.188446011,812,104.7486259,0.129000771,812,111.8254513,0.137716073,812,61.44367645,0.075669552,56.75,7.5,4,9,6.5,10.5,6,5.25,4.5,3,0.5,67.25,7,3,10,8.5,13,7,8.5,5.75,3,1.5,16,23,13,11.5,11,74.5,Udaya Bahadur Rai,48,Male,CPN-UML
1,ILAM,Nagarpalika,Suryodaya,55457,5330,9.61%,225.52,1182,526.8125185,0.44569587,1182,409.570666,0.346506486,1182,153.4292401,0.129804772,1182,265.5097501,0.224627538,1182,177.6879269,0.150328195,1182,206.0445999,0.174318612,1182,137.3422045,0.116194758,81.25,7.5,6,9,9,14,7,10.5,9,5,4.25,96.25,9,8,11,9.75,16,7,13,9,7.5,6,20,26.5,16,9.5,13.5,85.5,Ran Bahadur Rai,46,Male,CPN-UML
1,JHAPA,Nagarpalika,Arjundhara,84429,8506,10.07%,109.86,573,541.1978441,0.944498855,573,294.9081811,0.514673964,573,171.1875886,0.298756699,573,201.4651651,0.351597147,573,167.8602152,0.292949765,573,206.4806624,0.360350196,573,201.8594815,0.352285308,60.75,6.75,5,8,9,9.75,6.5,10,1,2,2.75,60.5,7.5,4,7,7.25,9.5,7,9,2.5,2,4.75,13.5,17,14,5,10,59.5,Hari Kumar Rana Magar,59,Male,CPN-UML
1,JHAPA,Gaunpalika,Barhadashi,37916,2919,7.70%,80.32,416,257.073687,0.617965594,416,165.3856735,0.397561715,416,79.53142975,0.191181322,416,116.5172301,0.280089495,416,84.24928638,0.202522323,416,98.19624668,0.23604867,416,81.36182069,0.1955813,38.25,6,3.75,3.5,7,7.25,5,2,1.75,2,0,58.75,8,5.75,6.5,8.5,11,6,4.75,3,2.5,2.75,16,21,10,6,10,63,Khanga Prasad Rajbanshi,54,Male,NC
1,JHAPA,Nagarpalika,Bhadrapur,70823,7346,10.37%,96.35,496,550.3349152,1.1095462,496,359.5777836,0.724955209,496,293.974515,0.592690554,496,343.3333091,0.692204252,496,284.5063042,0.57360142,496,298.6434557,0.602103741,496,348.7590039,0.703143153,59.75,8,3,7,6.5,9.75,7,9,5,4.5,0,67.25,8,3,6.5,8.5,11.75,7,9.5,8.5,4.5,0,9.5,16,12,5,11,53.5,Jiwan Kumar Shrestha,52,Male,CPN-UML
1,JHAPA,Nagarpalika,Birtamod,117355,15454,13.17%,78.24,406,709.8435769,1.748383194,406,345.5928012,0.851213796,406,259.7066408,0.639671529,406,237.8477799,0.58583197,406,248.1909243,0.611307695,406,241.1488434,0.593962668,406,424.4461487,1.045433864,50.75,7,2.5,8.5,4.5,9.75,7,5.5,0,2.5,3.5,62.75,7.75,4,7.5,7.5,10.75,7,5,6.5,4,2.75,13.5,19,10,7,12.5,62,Dhurwa Kumar Siwakoti,61,Male,CPN-UML
1,JHAPA,Gaunpalika,Buddhashanti,52911,5544,10.48%,79.78,419,334.6659242,0.798725356,419,185.1368829,0.441854136,419,98.75576846,0.235693958,419,132.3342341,0.315833494,419,101.4534252,0.24213228,419,112.5122855,0.268525741,419,78.68652424,0.187796001,36.5,6,1,5,4.25,6.75,5,4,3,1.5,0,40,7.25,1.5,2,4,7.75,6.5,6,3,1,1,5,14,10,3.5,8,40.5,Ramesh Kumar Bhujel,58,Male,NC
1,JHAPA,Nagarpalika,Damak,107410,14126,13.15%,70.86,370,602.4653645,1.628284769,370,254.2516273,0.68716656,370,217.4981878,0.58783294,370,214.9245855,0.580877258,370,173.6683549,0.469373932,370,192.7124475,0.520844453,370,309.4715328,0.836409548,69.25,8,4,9,8.75,9.5,6,7,5.5,7,4.5,77.25,7.75,6.5,7.75,8.25,12.5,7,8.5,6,8.5,4.5,19,26.5,16,11.5,15.5,88.5,Romnath Oli,60,Male,CPN-UML
1,JHAPA,Nagarpalika,Gauradhaha,60598,5318,8.78%,149.89,781,449.3998694,0.575415966,781,272.3302648,0.348694321,781,102.8673557,0.131712363,781,190.821271,0.244329412,781,124.843616,0.159850981,781,149.7497061,0.191740981,781,137.2039319,0.17567725,51.5,8.5,4.75,4.5,7.75,10,6,3.5,3.5,2.5,0.5,63.5,9,4.5,7.5,8,11.5,6,9,3.5,4,0.5,6,19.5,9,4.5,6.5,45.5,Rohit Kumar Shaha,46,Male,NC
1,JHAPA,Gaunpalika,Gauriganj,36058,1996,5.54%,101.35,526,305.3812981,0.58057281,526,199.1783609,0.378666085,526,89.89868904,0.170910055,526,138.1534873,0.262649215,526,94.11809786,0.178931745,526,110.1957656,0.209497653,526,111.8190567,0.212583758,65.25,8.5,7,6.5,9.25,13,6.5,5,6.5,2.5,0.5,60.25,8,6.5,5.5,9.75,12,6,5,4.5,3,0,-,-,-,-,-,N/A,Baburaj Shrestha,57,Male,RPP
1,JHAPA,Gaunpalika,Haldibari,33054,2720,8.23%,117.34,609,379.3475429,0.622902369,609,238.6458806,0.391865157,609,115.8807377,0.190280357,609,171.7034143,0.281943209,609,133.3780632,0.219011598,609,163.4209584,0.268343117,609,94.7248647,0.15554165,48.25,6.75,5,5.75,8.5,11.75,7,1.5,0,2,0,48.5,7.5,4.5,6,8,12.5,6,0.5,2,1.5,0,12.5,18,11,2.5,7.5,51.5,Rawindra Prasad Lingden,47,Male,RPP
1,JHAPA,Gaunpalika,Jhapa,39372,1844,4.68%,94.12,491,246.8572235,0.502764203,491,184.9802457,0.376741845,491,86.0587048,0.175272311,491,132.8016721,0.270471837,491,97.46682078,0.198506763,491,110.6316501,0.225319043,491,95.31497566,0.194124187,53.25,6,3,8,8,11.25,4,5.5,2,4,1.5,65.5,8,5.75,6,8.25,12,5,6,6.5,6,2,14.5,23,11,7,10.5,66,Jaya Narayan Shah,51,Male,NC
1,JHAPA,Gaunpalika,Kachankawal,42386,2341,5.52%,109.65,575,348.0756652,0.605348983,575,252.8949605,0.439817323,575,121.2675467,0.210900081,575,170.3511882,0.296262936,575,123.1370852,0.214151452,575,131.5490429,0.228780944,575,114.6193713,0.199338037,45,5.5,4.5,7.5,6.5,8,5,3,2,2.5,0.5,66.75,7.5,6.5,8.5,6,8.25,6.5,6.5,7.5,6.5,3,15.5,19.5,15,9,10.5,69.5,Anjara Aalam,49,Male,RPP
1,JHAPA,Gaunpalika,Kamal,53710,4945,9.21%,104.57,541,444.2125808,0.821095343,541,229.9212433,0.424993056,541,120.2883812,0.222344512,541,166.2856126,0.307367121,541,108.3324698,0.200244861,541,125.3704892,0.231738427,541,118.59352,0.219211682,60.75,7.5,4,4.5,10.25,8,7,10,4.5,5,0,69.75,8.5,5.5,8,9,12,7,8.75,5,3.5,2.5,13.5,26,15,9.5,11.5,75.5,Menuka Kafle,53,Male,CPN-UML
1,JHAPA,Nagarpalika,Kankai,53088,5449,10.26%,79.09,410,374.2247103,0.912743196,410,203.4020993,0.496102681,410,118.0617783,0.287955557,410,143.6083653,0.350264306,410,114.6176907,0.279555343,410,144.9544471,0.353547432,410,136.122287,0.332005578,77.75,7,7,8.5,10.5,14.5,5.5,10.25,5,5.5,4,90,8,8,10,10,15.5,7,11,9.5,6.5,4.5,20,27,16,13,16.5,92.5,Rajendra Kumar Pokhrel,53,Male,CPN-UML
1,JHAPA,Nagarpalika,Mechinagar,131520,12885,9.80%,192.61,996,1137.48367,1.142051877,996,587.4234191,0.589782549,996,351.1311581,0.352541323,996,408.0636909,0.409702501,996,305.7459182,0.306973813,996,310.8678161,0.312116281,996,274.4621598,0.275564417,54,6.5,3.5,5.5,6.25,7.5,6.5,5.5,5.25,6,1.5,74.75,8,5,8,8.75,15,6,11,1.5,7.5,4,14,12,5,6,5.5,42.5,Bimal Acharya,46,Male,NC
1,JHAPA,Nagarpalika,Shivasataxi,73460,6337,8.63%,145.47,757,514.3976818,0.679521376,757,298.1816552,0.393899148,757,154.8999234,0.204623413,757,216.8942185,0.286518122,757,162.1275214,0.214171098,757,186.0405752,0.245760337,757,145.9792541,0.192839173,68.75,7.25,4,6.5,9.5,11.5,5.75,9.25,10,4,1,63.25,8,5.25,6.5,8.5,11.5,5.5,11,4,2,1,-,-,-,-,-,N/A,Chandra Kumar Bhaktabahadur Serma,55,Male,CPN-UML
1,KHOTANG,Gaunpalika,Ainselukhark,13581,801,5.90%,125.39,657,267.5542749,0.407236339,657,177.8529832,0.270704693,657,43.737668,0.066571793,657,123.2654244,0.187618606,657,83.08131284,0.126455575,657,87.89810922,0.133787076,657,57.19086387,0.087048499,60,6.5,6.25,6.5,10,11.5,5.5,7.5,1.75,3.5,1,59.5,7,5.5,8.5,8,11.5,6,8,0,4,1,-,-,-,-,-,N/A,Bishwa Nath Niraula,57,Male,NC
1,KHOTANG,Gaunpalika,Barahapokhari,11461,665,5.80%,141.6,744,268.3383278,0.360669795,744,193.419251,0.259972112,744,90.92598344,0.122212343,744,116.311354,0.156332465,744,100.8647185,0.135570858,744,108.9001769,0.146371206,744,49.63514604,0.066713906,70.75,8,6.25,9,8.5,13.75,5.5,7.5,6,4.75,1.5,60.5,8.5,5,4.5,6,12.5,6,7.5,4.5,3.5,2.5,-,-,-,-,-,N/A,Salik Raj Banjara,40,Male,NC
1,KHOTANG,Gaunpalika,Diprung,16549,999,6.04%,136.48,715,272.8292929,0.381579431,715,188.3575166,0.263437086,715,57.5385238,0.08047346,715,131.2233065,0.1835291,715,84.18580882,0.11774239,715,110.1616661,0.15407226,715,55.50940439,0.077635531,80.5,8,7,8.5,9.5,14,4,9.5,8.5,7,4.5,83.5,9,7,10,11,15.5,6,6,8.5,4.5,6,15.5,18.5,11,8.5,5.5,59,Bhupendra Rai,39,Male,NC
1,KHOTANG,Nagarpalika,Halesi Tuwachung,27274,999,3.66%,280.17,1466,530.7765611,0.362057682,1466,395.6375379,0.269875537,1466,83.16672132,0.056730369,1466,268.1667045,0.182924082,1466,200.7209266,0.136917412,1466,192.0865083,0.131027632,1466,142.0108514,0.096869612,78.75,8.5,5.25,6,7,16,5,6,10,9,6,96,9,8,10.5,11,15,7,10.5,10,9,6,18,25.5,17,15,9,84.5,Ewan Rai,34,Male,NC
1,KHOTANG,Gaunpalika,Jantedhunga,12066,1868,15.48%,128.62,668,247.4401039,0.370419317,668,169.5298776,0.253787242,668,45.01697282,0.067390678,668,102.0854337,0.152822506,668,87.80015904,0.131437364,668,129.6162779,0.194036344,668,37.01133053,0.055406183,43.5,8,3,7,5.5,10.75,4.5,2.5,1.75,0.5,0,69.25,7.5,6,8,8,13.75,7,6,6,5,2,12.5,21.5,12,7,5,58,Sankar Bahadur Rai,44,Male,CPN-UML
1,KHOTANG,Gaunpalika,Kepilasagadhi,13339,794,5.95%,191.58,1004,352.2627036,0.350859267,1004,262.0841082,0.261039948,1004,56.15798382,0.055934247,1004,175.4028936,0.174704077,1004,106.6085337,0.106183798,1004,122.3854051,0.121897814,1004,60.08932504,0.059849925,61.5,8,6.5,6,7.25,8.75,7,7.75,7.25,1.5,1.5,78.5,7,7,7.5,9,12.5,7,12,8,5.5,3,-,-,-,-,-,N/A,Krishna Kumar Rai,50,Male,CPN-UML
1,KHOTANG,Gaunpalika,Khotehang,16952,759,4.48%,164.09,857,342.605458,0.399772996,857,231.6125916,0.270259733,857,78.34004694,0.091411957,857,141.9277,0.165609918,857,131.8911275,0.153898632,857,124.7445319,0.145559547,857,67.66670285,0.078957646,63.25,6,8,6,9.5,13.25,6.5,3.5,6.5,3,1,68.5,7.75,8,7,11,13.5,7,7,4.75,1.5,1,15.5,22.5,12,10.5,10,70.5,Pradip Rai,46,Male,CPN-UML
1,KHOTANG,Gaunpalika,Lamidanda,11218,1150,10.25%,97.42,507,185.7799909,0.366429962,507,137.8269832,0.271848093,507,37.64855926,0.074257513,507,96.65498473,0.190640996,507,57.98027876,0.114359524,507,63.89227109,0.126020259,507,47.36175494,0.09341569,50.5,6.5,5.5,5.5,6.5,10,5,6,1.5,2,2,80.5,8,6.5,10.5,11,15.25,7,10.75,6.75,4.75,0,-,-,-,-,-,N/A,Lila Nath Niraula,49,Male,CPN-UML
1,KHOTANG,Nagarpalika,Rupakot Majhuwagadhi,43295,626,1.45%,246.51,1290,496.5227949,0.384901391,1290,358.6525425,0.278025227,1290,99.80782573,0.077370408,1290,237.9523321,0.184459172,1290,151.1076736,0.117137732,1290,187.208602,0.145122947,1290,133.021302,0.103117288,62.5,6,5,6,8,10,7,8.5,3.5,5.5,3,65.5,7.5,6,6.75,8,11,7,6.75,4,6.5,2,20,21.5,11,6,12,70.5,Deep Narayan Rijal,38,Male,CPN-UML
1,KHOTANG,Gaunpalika,Sakela,9605,604,6.29%,79.99,419,152.5124187,0.363991453,419,109.827672,0.262118549,419,26.26736707,0.062690614,419,66.72016239,0.159236664,419,43.4836992,0.103779712,419,52.07513718,0.124284337,419,31.74473859,0.075763099,63,6.5,6,7,8.25,11.25,6.5,5.5,5.5,6,0.5,55,7.25,7.5,6,7,9.75,5.5,7.5,1.5,3,0,-,-,-,-,-,N/A,Arjun Kumar Khadka,30,Male,CPN-MC
1,MORANG,Nagarpalika,Belbari,81837,7797,9.53%,132.79,692,497.5538144,0.719008402,692,290.5701586,0.419899073,692,162.9779585,0.235517281,692,203.594159,0.294211212,692,175.5894993,0.253742051,692,214.0489483,0.309319289,692,165.8947503,0.239732298,56,7.5,5,6,7.75,8.25,4.5,8,1.5,5,2.5,65,8.5,5,8,8.5,11,7,9,3,2.5,2.5,12.5,24,12,6,12.5,67,Ganendra Subedi,59,Male,CPN-UML
1,MORANG,Mahanagarpalika,Biratnagar,244750,33016,13.49%,77,394,1655.08764,4.200730052,394,851.4394963,2.16101395,394,740.1250387,1.878489946,394,706.3495681,1.792765401,394,673.081687,1.708329155,394,751.392515,1.907087601,394,1114.454661,2.82856513,76.5,8.5,6,8.5,7.5,13.5,5.5,10.5,7,7.5,2,86.75,8.5,6.5,9,9.5,13.75,7,10,9.5,8,5,14.5,24.5,14,9.5,12,74.5,Bhim Parajuli,44,Male,NC
1,MORANG,Gaunpalika,Budhiganga,51640,4640,8.99%,56.41,290,546.7352322,1.885293904,290,365.0203828,1.258690975,290,259.9596504,0.896412588,290,279.4339469,0.963565334,290,276.5560566,0.953641574,290,280.2072608,0.966231934,290,307.017607,1.058681403,56.75,6,6.25,6,6,11,5,6.5,5,4,1,66.5,8,7,4.5,8,11.75,7,7,8,3.25,2,9.5,13,13,5,11,51.5,Bal Chandra Majhi,58,Male,MJFN
1,MORANG,Gaunpalika,Dhanpalthan,45204,1971,4.36%,70.26,364,334.3039635,0.918417482,364,262.2564627,0.720484788,364,165.9158014,0.455812641,364,177.8577955,0.488620317,364,144.4904566,0.396951804,364,150.4115603,0.413218572,364,150.8011244,0.414288803,73,7.5,5,9.5,8.25,10,7,7.25,6,6.5,6,77.5,8,7,8.5,7.5,10.5,6,9.5,9,7,4.5,15,25.5,11,3.5,6.5,61.5,Hari Lal Sighn,68,Male,NC
