PROVINCE,DISTRICT,UNIT_TYPE,UNIT_NAME,popn_2021, popn_highschool_and_equivalent,high_school_per,area_kmsq,lum_count_2021,sum_2021,mean_2021,lum_count_2017,sum_2017,mean_2017,lum_count_2016,sum_2016,mean_2016,lum_count_2015,sum_2015,mean_2015,lum_count_2014,sum_2014,mean_2014,lum_count_2013,sum_2013,mean_2013,lum_count_2012,sum_2012,mean_2012,lisa_total_100_20_21,lisa_governance_management_9_20_21,lisa_organization_administration_8_20_21,lisa_budget_plan_management_11_20_21,lisa_fiscal_economic_management_11_20_21,lisa_service_delivery_16_20_21,lisa_judicial_execution_7_20_21,lisa_physical_infrastructure_13_20_21,lisa_social_inclusion_10_20_21,lisa_environmental_protection_ disaster_management_9_20_21,lisa_cooperation_coordination_6_20_21,lisa_total_100_21_22,lisa_governance_management_9_21_22,lisa_organization_administration_8_21_22,lisa_budget_plan_management_11_21_22,lisa_fiscal_economic_management_11_21_22,lisa_service_delivery_16_21_22,lisa_judicial_execution_7_21_22,lisa_physical_infrastructure_13_21_22,lisa_social_inclusion_10_21_22,lisa_environmental_protection_ disaster_management_9_21_22,lisa_cooperation_coordination_6_21_22,fra_plan_budget_program_management_21_21_22,fra_implementation_capability_management_21_21_22,fra_accounting_reporting_17_20_21,fra_monitoring_evaluation_audit_16_21_22,fra_revenue_management_17_21_22,fra_total_100_21_22,Name of Chairperson,Age at Election,Sex,Political Affiliation
6,WESTERN_RUKUM,Gaunpalika,Banfikot,20940,2074,9.90%,190.4,1013,384.6833071,0.379746601,1013,288.0538297,0.284357186,1013,131.0708637,0.129388809,1013,146.6991008,0.144816486,1013,117.856519,0.116344046,1013,137.8279369,0.136059168,1013,99.16544691,0.09789284,74.25,8,5.5,6,11,12.75,7,6.5,9.5,4,4,62.25,8.5,4.5,4.5,10,13,5,2,9,3.25,2.5,15,19.5,13,7,10.5,65,Dharma Bahadur KC,50,Male,CPN-MC
6,WESTERN_RUKUM,Nagarpalika,Chaurjahari,29255,2863,9.79%,107.36,568,279.1320677,0.491429697,568,163.106479,0.287159294,568,44.62042487,0.078557086,568,88.64814442,0.156070677,568,74.68328115,0.13148465,568,81.05789156,0.142707556,568,61.19554681,0.107738639,79,8.75,7.5,8,8.75,14.5,4.5,10,7.5,4.5,5,87.25,9,8,10.5,10,13.5,6,12,9,4.5,4.75,15.5,26,13,9.5,8,72,Bishal Sharma,44,Male,CPN-MC
6,WESTERN_RUKUM,Nagarpalika,Musikot,33871,4122,12.17%,162.69,868,368.6676313,0.424732294,868,278.7128105,0.321097708,868,93.72437335,0.107977389,868,156.0743611,0.179809172,868,112.5084351,0.129618013,868,130.6177022,0.150481224,868,96.78092033,0.111498756,72,8.5,6.5,7.5,10,12.75,7,5,7.75,3.5,3.5,69.75,8.25,7,7,8.5,12.75,6.5,8,4.75,5,2,10.5,20,14,9,10.5,64,Debi Lal Gautam,66,Male,CPN-MC
6,WESTERN_RUKUM,Gaunpalika,Sani Bheri,24778,2564,10.35%,133.79,715,279.8024349,0.391332077,715,203.5319622,0.284660087,715,53.52266974,0.074856881,715,106.995589,0.14964418,715,71.3075583,0.099730851,715,98.45281483,0.137696245,715,80.71192048,0.112883805,70.25,8,7,7,10.75,11.25,7,7.75,5.5,4,2,70.5,7.75,6.5,6,9.5,13.25,7,9,6.5,4,1,13.5,20.5,14,8.5,8.5,65,Nar Bahadur Pun,50,Male,CPN-MC
6,WESTERN_RUKUM,Gaunpalika,Tribeni,20466,2307,11.27%,85.5,452,176.2348252,0.389900056,452,127.9590916,0.283095335,452,32.28072421,0.071417531,452,69.66293144,0.15412153,452,48.28708585,0.106829836,452,60.93677317,0.13481587,452,42.33826504,0.093668728,44.5,5,3.75,5.5,5.5,8.25,7,4.5,5,0,0,58,8.5,6.25,6,9.5,12.25,7,3,2.5,2,1,9,17.5,11,3,7,47.5,Jhakku Prasad Gharti Magar,52,Male,CPN-MC
7,ACHHAM,Gaunpalika,Bannigadhi Jayagadh,13639,1046,7.67%,58.26,313,136.6251616,0.436502114,313,98.72603589,0.315418645,313,36.9122388,0.117930475,313,56.01785706,0.178970789,313,40.22920679,0.128527817,313,44.75430478,0.142984999,313,36.3585706,0.116161567,36.25,7,5,4,5.25,7.5,2.5,3,1,1,0,52.25,8,5,6,8.75,9.5,2.5,4,3,5.5,0,8.5,12.5,7,3,5,36,Rajendra Bahadur Khadka,46,Male,NC
7,ACHHAM,Gaunpalika,Chaurpati,22407,862,3.85%,182.16,975,416.4044516,0.427081489,975,325.6100066,0.333958981,975,131.3017516,0.134668463,975,161.5937859,0.165737216,975,178.9418737,0.183530127,975,198.185316,0.203266991,975,197.5864131,0.202652731,63,9,7,7.5,6.5,12.25,4.5,5.5,4.25,5,1.5,60.25,7.75,5,8,8.75,12.25,6,3,5,4.5,0,13,14.5,8,2,6,43.5,Harka Bahadur Saud,32,Male,CPN-UML
7,ACHHAM,Gaunpalika,Dhakari,22553,756,3.35%,227.88,1215,494.2007767,0.40674961,1215,362.9437908,0.298719169,1215,169.5539452,0.139550572,1215,179.2946208,0.147567589,1215,168.4399284,0.138633686,1215,181.1028575,0.14905585,1215,154.9170373,0.127503734,56,8.5,5.25,7.5,8.75,7.75,4,4,6.75,3.5,0,61.75,8.5,7.75,5.5,8.5,13.5,4,4,6.5,3.5,0,5.5,10,11,7.5,8.5,42.5,Dhan Bahadur Budha,52,Male,NC
7,ACHHAM,Nagarpalika,Kamalbazar,20947,1055,5.04%,120.78,644,288.2947862,0.447662711,644,186.2131077,0.289150788,644,73.5408347,0.114193843,644,93.97176496,0.14591889,644,94.99035168,0.147500546,644,101.1065809,0.156997796,644,86.50600073,0.134326088,52.25,7.5,3.75,8,7.25,11.25,6,1,2.5,3,2,69,7.75,7,9.25,9.75,10.25,5,4,7,4.5,4.5,9.5,15,7,4.5,5,41,Om Prakash Bista,66,Male,NC
7,ACHHAM,Nagarpalika,Mangalsen,26843,1644,6.12%,220.14,1175,580.7367184,0.494244016,1175,399.244731,0.33978275,1175,221.6962651,0.188677672,1175,187.5077491,0.159581063,1175,274.1708645,0.233336906,1175,250.3143829,0.213033517,1175,242.3976736,0.206295892,67.75,7.5,6.5,5,8.5,14.5,6.5,5.5,5,6.75,2,67.25,8,7.75,7.5,9.75,15,6,5.5,2.75,4,1,14.5,22.5,15,4,7.5,63.5,Padam Bahadur Bohora,58,Male,CPN-UML
