province,district,unit_type,unit_name,popn_2021,popn_highschool_and_equivalent,high_school_per,area_kmsq,change_nl_sq_km,baseline_nl_sqkm,sum_2023,mean_2023,sum_2022,mean_2022,sum_2021,mean_2021,sum_2020,mean_2020,sum_2019,mean_2019,sum_2018,mean_2018,sum_2017,mean_2017,sum_2016,mean_2016,sum_2015,mean_2015,sum_2014,mean_2014,sum_2013,mean_2013,sum_2012,mean_2012,lisa_20_21,gov_magm_20_21,org_admin_20_21,budg_magm_20_21,fiscal_magm_20_21,service_dev_20_21,jud_exe_20_21,phy_infra_20_21,soc_inc_20_21,env_protec_20_21,cop_cor_20_21,lisa_21_22,gov_magm_21_22,org_admin_21_22,budg_magm_21_22,fiscal_magm_21_22,service_dev_21_22,jud_exe_21_22,phy_infra_21_22,soc_inc_21_22,env_protec_21_22,cop_cor_21_22,fra_plan_budget_program_manageme,fra_implementation_capability_ma,fra_accounting_reporting_17_20_2,fra_monitoring_evaluation_audit_,fra_revenue_management_17_21_22,fra_total_100_21_22,nameofchairperson,ageatelection,sex,politicalaffiliation,baseline_nl,log_baseline_nl,chgnl,ln_popn,high_school_percent,urban_num,gov_coalitiion,female,over_65,ln_area,ln_educ,lisa_avg,gov_magm_avg,org_admin_avg,budg_magm_avg,fiscal_magm_avg,service_dev_avg,jud_exe_avg,phy_infra_avg,soc_inc_avg,env_protec_avg,cop_cor_avg
7,ACHHAM,Gaunpalika,Mellekh,23096,1250,5.41%,134.78,.40924171,3.2835071,329.43555,.45439386,276.96173,.38201618,267.58295,.36907992,245.55806,.33870077,176.20459,.24304081,195.42783,.26955563,212.42534,.29300046,52.075058,.071827665,109.09602,.15047728,68.954674,.095109902,94.727463,.13065857,80.198402,.11061849,63.75,8,4,8.5,9.25,13.75,4,7,2.5,3.25,3.5,60.25,8,5,5.5,8,9.75,5,10.5,4.5,3,1,8,12,10,7,4.5,41.5,Lok Bahadur Bohora,36,Male,CPN-MC,110.63777,4.7062616,4.0101948,10.047415,5.4121928,0,1,0,0,4.9036436,7.130899,62,8,4.5,7,8.625,11.75,4.5,8.75,3.5,3.125,2.25
7,ACHHAM,Nagarpalika,Panchadewal Binayak,26316,1427,5.42%,147.75,.59673029,3.3332491,370.62952,.47093967,298.33765,.37908214,310.06546,.39398408,300.784,.38219059,187.53491,.23829086,206.27177,.26209882,221.89856,.28195497,61.082436,.077614278,114.20639,.14511614,95.300156,.12109296,102.39716,.13011076,82.421417,.10472861,52,5.25,3.5,3.75,7.5,9.75,6,4.5,9.25,2,.5,60.75,8,5.75,6,6.5,12,6,5.5,8.5,2.5,0,11.5,18,12,8.5,10.5,60.5,Deb Raj Debkota,63,Male,NC,123.12189,4.8131747,4.4792318,10.177933,5.4225564,1,0,0,0,4.9955215,7.2633295,56.375,6.625,4.625,4.875,7,10.875,6,5,8.875,2.25,.25
7,ACHHAM,Gaunpalika,Ramaroshan,22676,1217,5.37%,173.33,.29034927,3.186842,379.25314,.41223165,318.94495,.34667927,309.67407,.33660224,298.7706,.32475063,211.76892,.23018362,238.53261,.25927457,259.34781,.28189981,68.836861,.074822672,132.81371,.14436272,91.376938,.099322759,116.86195,.12702386,91.934082,.099928357,40,5.5,3,6,5,5.5,3,8,3,1,0,56.75,6.5,5,8.5,8.5,6.75,3.5,8,7,3,0,4.5,7.5,4,3.5,3.5,23,Inkar Bahadur Saud,39,Male,CPN-MC,138.09383,4.9279332,3.9185271,10.029062,5.3669076,0,1,0,0,5.1551971,7.1041441,48.375,6,4,7.25,6.75,6.125,3.25,8,5,2,0
7,ACHHAM,Nagarpalika,Sanphebagar,25990,2259,8.69%,166.71001,.47705218,3.8641903,445.73495,.50536841,364.7543,.41355363,361.03308,.40933454,312.79523,.35464314,246.11847,.27904588,259.63919,.29437551,281.50369,.3191652,113.37085,.12853839,145.79114,.16529606,103.53349,.11738491,127.21385,.14423339,118.33566,.1341674,56.5,9,5,6.5,7.75,11.5,7,3,3.25,3.5,0,64.75,9,3.5,8,7,12.25,7,4,6.5,5.5,2,15.5,11,9,7,7,49.5,Kul Bahadur Kunwar,49,Male,CPN-UML,161.04979,5.0817137,4.3761268,10.165467,8.6918049,1,1,0,0,5.1162558,7.7226777,60.625,9,4.25,7.25,7.375,11.875,7,3.5,4.875,4.5,1
7,ACHHAM,Gaunpalika,Turmakhad,24440,1334,5.46%,232.07001,1.8331836,4.1598654,561.56915,.4554494,539.70306,.43771535,782.09406,.63430172,371.19208,.30104792,344.19711,.27915418,379.46716,.30775926,356.66708,.28926772,198.40047,.16090873,219.93431,.17837332,190.37805,.15440232,230.2673,.18675369,167.53476,.13587572,66.5,9,6.5,7.25,7.5,12.75,3,6.25,5.75,5,3.5,51.5,6.25,2.5,6,7,8,4,6,4.5,4.5,2.75,7,11.5,6,2.5,1,28,Puspa Raj Sharma,39,Male,NC,241.34497,5.4862275,6.0530934,10.103976,5.4582653,0,0,0,0,5.4470391,7.1959372,59,7.625,4.5,6.625,7.25,10.375,3.5,6.125,5.125,4.75,3.125
7,BAITADI,Nagarpalika,Dasharathchanda,31786,3367,10.59%,135.14999,.34904292,4.9729419,365.59454,.50566328,304.86203,.42166254,301.65063,.41722077,257.91891,.35673431,212.41444,.29379591,230.81133,.31924111,254.47748,.35197437,117.61172,.16267182,173.24818,.23962405,126.75567,.17531905,141.13472,.19520707,142.36665,.19691101,63,8,5.75,7.5,7.5,10,5.5,3,6.5,5.5,3.75,65.5,8,8,9,9.5,12.5,6,5,3,1,3.5,12,18,7,7.5,3,47.5,Narendra Sighn Thapa,55,Male,NC,168.02327,5.1241026,3.8538251,10.366781,10.592713,1,0,0,0,4.9063854,8.1217775,64.25,8,6.875,8.25,8.5,11.25,5.75,4,4.75,3.25,3.625
7,BAITADI,Gaunpalika,Dilasaini,23233,2199,9.46%,125.27,.48294419,4.1625719,319.26996,.47794905,279.64307,.41862732,275.53946,.41248423,213.62993,.31980526,188.3046,.2818931,200.14995,.29962566,215.04105,.32191774,92.999596,.13922095,116.28967,.17408632,97.115074,.14538185,102.73687,.1537977,93.805061,.14042674,62,8,5.75,5,8.5,12.75,6,5,5,6,0,65,7.5,7.5,6.5,9.75,12,7,5.75,3.5,5.5,0,14,23,16,8,4,65,Ukendra Bahadur Bohora,38,Male,CPN-UML,130.36134,4.8703103,4.1026173,10.053329,9.4649849,0,1,0,0,4.8304715,7.6957579,63.5,7.75,6.625,5.75,9.125,12.375,6.5,5.375,4.25,5.75,0
7,BAITADI,Gaunpalika,Dogadakedar,23619,2089,8.84%,126.38,.45943549,3.9320679,317.37238,.46264195,277.48749,.40450072,267.75735,.39031684,224.77603,.32766184,178.47983,.26017469,193.22028,.28166223,209.69391,.30567625,74.788414,.10902102,124.61157,.18164952,87.840858,.1280479,115.4741,.1683296,102.4104,.1492863,48.5,5.5,5,5.5,7.75,7.25,4,4.5,5,4,0,55,8,4,6.5,9,9,4,4,7.5,3,0,13.5,19,11,4,11,58.5,Chakra Bahadur Karki,45,Male,CPN-UML,124.23369,4.8221645,4.0615363,10.069807,8.844574,0,1,0,0,4.839293,7.6444407,51.75,6.75,4.5,6,8.375,8.125,4,4.25,6.25,3.5,0
7,BAITADI,Nagarpalika,Melauli,21000,1543,7.35%,119.7,.34118611,3.7121093,283.98361,.44441879,248.10643,.38827297,233.06671,.36473662,199.46628,.31215379,167.69702,.26243666,169.60555,.26542339,192.22673,.30082428,71.935654,.11257536,105.02576,.16435957,75.151329,.11760772,88.971214,.13923508,98.020905,.15339735,65.25,8,5.25,7,8.75,10.25,4,7,6.25,3,5.75,65.5,7.25,6.25,7,8.5,9.75,4,6.25,6,4.75,5.75,8,15.5,11,7,4.5,46,Krishna Sighn Nayek,64,Male,NC,111.08487,4.7102947,3.7096615,9.9522781,7.3476191,1,0,0,0,4.7849884,7.3414841,65.375,7.625,5.75,7,8.625,10,4,6.625,6.125,3.875,5.75
7,BAITADI,Gaunpalika,Pancheshwar,17780,1204,6.77%,120.41,.43530139,4.1872845,311.53668,.48002571,260.37921,.40120062,266.53226,.41068146,216.5336,.33364192,192.15266,.29607499,185.21661,.28538769,214.11763,.32991931,73.568855,.11335725,126.25749,.19454159,90.246925,.13905536,101.24396,.15599994,114.77098,.17684281,33.5,5.5,4.75,2.5,6.75,2.25,0,4,3.75,2,2,71,7,7.5,9,11,11,4,7,4.5,4,6,4,12,4,5.5,2,27.5,Gorakh Bahadur Chand,49,Male,CPN-UML,126.04773,4.8366609,3.9591856,9.7858295,6.7716537,0,1,0,0,4.7909026,7.0934048,52.25,6.25,6.125,5.75,8.875,6.625,2,5.5,4.125,3,4
