PROVINCE,DISTRICT,UNIT_TYPE,UNIT_NAME,popn_2021,popn_secondary,popn_highschool,popn_graduate,popn_post_graduate, popn_highschool_and_equivalent,high_school_per,area_kmsq,percen_chg_nl,baseline_nl_sqkm,sum_2023,mean_2023,sum_2022,mean_2022,sum_2021,mean_2021,sum_2020,mean_2020,sum_2019,mean_2019,sum_2018,mean_2018,sum_2017,mean_2017,sum_2016,mean_2016,sum_2015,mean_2015,sum_2014,mean_2014,sum_2013,mean_2013,sum_2012,mean_2012,lisa_20_21,gov_magm_20_21,org_admin_20_21,budg_magm_20_21,fiscal_magm_20_21,service_dev_20_21,jud_exe_20_21,phy_infra_20_21,soc_inc_20_21,env_protec_20_21,cop_cor_20_21,lisa_21_22,gov_magm_21_22,org_admin_21_22,budg_magm_21_22,fiscal_magm_21_22,service_dev_21_22,jud_exe_21_22,phy_infra_21_22,soc_inc_21_22,env_protec_21_22,cop_cor_21_22,fra_plan_budget_program_management_21_21_22,fra_implementation_capability_management_21_21_22,fra_accounting_reporting_17_20_21,fra_monitoring_evaluation_audit_16_21_22,fra_revenue_management_17_21_22,fra_total_100_21_22,Name of Chairperson,Age at Election,Sex,Political Affiliation
4,SYANGJA,Nagarpalika,Galyang,31125,2759,3342,965,405,3342,10.74%,122.71,38.51608845,1.319784135,404.7399675,0.626532457,320.7049317,0.496447263,334.161123,0.51727728,284.1952257,0.43993069,214.2410995,0.331642569,224.9639601,0.348241424,241.2435456,0.373442021,117.9087715,0.182521318,170.0637717,0.263256613,118.5867562,0.18357083,130.3147146,0.201725564,109.5269203,0.169546316,62.25,6.5,5.75,8,9.5,12,6,3,8.5,2,1,60.75,7.5,3.5,6,8.5,13.75,7,5,7.5,2,0,7.5,15.5,9,1,7,40,Bhupraj Adhikari,49,Male,CPN-UML
4,SYANGJA,Gaunpalika,Harinas,12979,877,891,174,99,891,6.86%,87.48,47.8879143,0.980964068,249.9495768,0.539847898,185.1585845,0.39991055,206.9522483,0.446981098,171.3945212,0.370182551,125.1934526,0.270396226,134.3780836,0.290233442,139.9385807,0.302243155,49.58960897,0.107104987,88.30844548,0.190730984,65.42231163,0.141300889,69.35892256,0.149803288,55.00642424,0.118804372,65.5,9,7.25,8,9.5,12.25,4,4.5,3.5,3,4.5,69.5,8,6.5,9,7.75,10.5,2.75,9.5,5,4.5,6,-,-,-,-,-,N/A,Khim Narayan Manandhar,33,Male,CPN-UML
4,SYANGJA,Gaunpalika,Kaligandagi,18008,1118,1990,433,203,1990,11.05%,73.51,34.13081547,1.144651362,234.6589534,0.600150776,175.3532589,0.448473808,177.9825041,0.45519822,155.2942267,0.397171935,115.9983615,0.296671001,120.5745531,0.308374816,132.6932245,0.339368861,49.61710725,0.126897972,88.12749301,0.225390008,66.13546159,0.169144403,75.36905174,0.192759723,61.90050332,0.158313308,64.25,8,4,7,9.5,11,5,8,7.5,4.25,0,68.75,8,7.5,7,9,13.25,3.5,6.5,5.5,5,3.5,18.5,21.5,17,11.5,15,83.5,Khim Bahadur Thapa,49,Male,CPN-UML
4,SYANGJA,Gaunpalika,Phedikhola,10786,778,1286,402,174,1286,11.92%,56.73,30.21508294,1.007028233,166.3232793,0.556265148,123.6886443,0.413674396,126.5276997,0.423169564,106.2933708,0.355496223,80.79938871,0.270232069,85.47112861,0.285856617,97.16823646,0.324977379,30.37750188,0.101596996,61.23156331,0.204787837,39.73754503,0.132901488,49.71283203,0.166263652,42.030192,0.140569204,92.75,9,7.5,10.5,10,13.5,7,11.25,10,8,6,92.5,9,7.5,9.5,10.5,15,7,11,9,8,6,14,24.5,15,9,15,77.5,Ghamshyam Subedi,33,Male,CPN-UML
4,SYANGJA,Nagarpalika,Putalibazar,42079,3621,4986,1522,760,4986,11.85%,147.21,46.75037083,1.155669655,425.8972074,0.548836607,348.8437046,0.449540856,379.6648016,0.489258765,312.6184715,0.402858855,224.2852139,0.289027338,244.7707517,0.315426226,258.7147136,0.333395249,96.22994589,0.124007662,176.0285077,0.22684086,149.5313525,0.192695042,145.8307197,0.187926185,112.7368573,0.145279455,82.5,8.5,6,8,10,15,7,9,6,7,6,65.5,7.5,5,7,10,13.5,6,7,5,3.5,1,-,-,-,-,-,N/A,Sima Kumari Chettri,49,Male,CPN-UML
4,SYANGJA,Nagarpalika,Waling,50932,4238,6599,1813,838,6599,12.96%,128.4,52.99508927,1.348427563,449.0401754,0.663279432,362.0420147,0.534774025,383.8924563,0.567049418,317.9061468,0.469580719,242.2953566,0.357895652,250.6816013,0.370283015,250.9181557,0.370632431,126.3883814,0.186688894,187.7018486,0.277255316,127.5440104,0.18839588,136.4112094,0.201493662,124.1218046,0.183340923,95,9,8,11,11,16,7,11,9,7,6,74.5,9,7.5,9.5,9,15.5,7,9,2,5,1,19.5,21.5,16,8.5,10.5,76,Dilip Pratap Khad,50,Male,NC
4,TANAHU,Gaunpalika,Anbukhaireni,22349,1484,1995,555,331,1995,8.93%,128,31.8242424,1.393224898,418.2449485,0.613262388,313.8861536,0.460243627,356.5530589,0.522805072,282.9406836,0.414869037,233.4206159,0.342258968,275.4997034,0.403958509,270.4760918,0.39659251,149.2598042,0.218856018,154.7175402,0.226858563,138.8777118,0.203633008,193.1864963,0.283264657,120.1986201,0.176244311,73.5,6.5,6.25,8.5,10.25,11.5,7,10.5,5.5,5.5,2,77.25,8.5,7.5,7,8.5,12.75,7,9.5,8.5,6,2,20.5,20,16,5,12,73.5,Gir Bahadur Thapa,57,Male,NC
4,TANAHU,Gaunpalika,Bandipur,19403,1297,1539,459,202,1539,7.93%,101.54,40.54742095,1.28517207,331.8825261,0.611201706,250.3235061,0.461000932,264.7992813,0.487659818,225.6602226,0.41558052,179.3726776,0.330336423,209.2437277,0.385347565,188.4056495,0.34697173,93.18014946,0.171602485,111.0166907,0.204450627,129.3829982,0.238274398,125.1366751,0.230454282,78.87710639,0.145261706,66.75,8,4,7.5,8,11.75,6,8.5,5.5,5,2.5,62,7.5,3.75,7.5,7.5,9.5,6.5,8,4.75,5.5,1.5,11.5,16.5,13,5.5,11.5,58,Purna Sighn Thapa,40,Male,CPN-MC
4,TANAHU,Nagarpalika,Bhanu,43255,2809,3617,962,405,3617,8.36%,184.29,36.07344433,1.233356146,601.3159145,0.618637772,454.6126751,0.467708513,430.9339024,0.443347636,395.6219145,0.407018431,308.4872337,0.317373697,328.3654364,0.337824523,316.6921397,0.325814959,198.279097,0.203990841,213.8565166,0.220016992,180.3530632,0.185548419,226.0493006,0.232561009,140.4432398,0.14448893,69,8,5.5,10,10,10.75,6,4.75,4,6,4,41.75,6,4,6.5,6,8.25,4,2.5,0.5,3,1,10.5,9.5,9,3.5,8.5,41,Udaya Raj Gauli,67,Male,NC
4,TANAHU,Nagarpalika,Bhimad,33077,2435,2362,421,206,2362,7.14%,129.3,41.93926878,1.004730646,355.2932573,0.520195106,289.2856245,0.423551427,296.7674785,0.434505825,258.1414504,0.377952343,193.2774618,0.282983107,201.9359161,0.295660199,209.0806026,0.306120941,65.95209079,0.096562358,133.1220486,0.194907831,111.4919483,0.163238577,107.8180524,0.15785952,94.41896238,0.138241526,61.25,8.5,5,7,9,10.75,5,7.25,3.25,3.5,2,63.75,8.5,5,8,10,9.75,5,8,3.5,4.5,1.5,17,23,15,9,13.5,77.5,Mekh Bahadur Thapa,47,Male,CPN-UML
4,TANAHU,Nagarpalika,Byas,80944,7473,8564,2741,1221,8564,10.58%,247.73,38.00546073,1.260027376,829.2065162,0.636382591,633.1321102,0.485903385,618.6001222,0.474750669,536.9110698,0.412057613,424.0652625,0.325453003,458.3413631,0.351758529,448.2432209,0.344008612,201.2059716,0.154417476,299.3618695,0.229748173,299.7752655,0.230065438,318.7101179,0.244597174,218.909062,0.168003885,89,9,8,10,9.5,15.5,7,10.5,8,8,3.5,87.5,8.5,7,10,11,15,7,10.5,8.5,8,2,16,19,15,9.5,12.5,72,Baikuntha Nath Neupane,58,Male,NC
