PROVINCE,DISTRICT,UNIT_TYPE,UNIT_NAME,popn_2021,popn_secondary,popn_highschool,popn_graduate,popn_post_graduate, popn_highschool_and_equivalent,popn_highshool_above,high_school_per,area_kmsq,percen_chg_nl,baseline_nl_sqkm,sum_2023,sum_2022,sum_2021,sum_2020,sum_2019,sum_2018,sum_2017,sum_2016,sum_2015,sum_2014,sum_2013,sum_2012,lisa_20_21,gov_magm_20_21,org_admin_20_21,budg_magm_20_21,fiscal_magm_20_21,service_dev_20_21,jud_exe_20_21,phy_infra_20_21,soc_inc_20_21,env_protec_20_21,cop_cor_20_21,lisa_21_22,gov_magm_21_22,org_admin_21_22,budg_magm_21_22,fiscal_magm_21_22,service_dev_21_22,jud_exe_21_22,phy_infra_21_22,soc_inc_21_22,env_protec_21_22,cop_cor_21_22,Name of Chairperson,Age at Election,Sex,Political Affiliation,Neighbor_Percent,lisa_20_21,10.1.1_20_21,10.1.2_20_21,10.2.1_20_21,10.3.1_20_21,10.3.2_20_21,10.3.3_20_21,10.1.1_21_22,10.1.2_21_22,10.2.1_21_22,10.3.1_21_22,10.3.2_21_22,10.3.3_21_22
1,BHOJPUR,Gaunpalika,Aamchowk,15237,969,622,120,59,622,801,5.26%,184.69,38.19694323,0.748611984,391.3597917,317.4604815,336.1849367,292.182257,192.0297907,238.3882199,243.2651033,52.44190659,146.2183606,111.1192188,152.5718549,50.38976703,51.25,8,4.75,7.5,6.25,9.75,5.5,3,3,3.5,0,60.75,7.5,5,8.5,9.5,11.75,5,6.5,4.5,2.5,0,Ashok Rai,36,Male,CPN-MC,0.00%,51.25,0,0,0,0,0,0,0,0,0,0,0,0
1,BHOJPUR,Gaunpalika,Arun,14853,1182,760,189,96,760,1045,7.04%,154.76,52.77180346,0.876649419,354.1285516,293.0096103,326.4832271,253.9819209,183.182856,200.5472458,213.7064692,89.39071051,140.6495614,98.93431507,111.2904636,44.77436097,46.5,7.5,2,7,5.5,8.5,5,3,5.5,1.5,1,52.5,7.25,4.75,6.5,5.5,7.5,5,3.5,7.5,2,3,Gajendra Bahadur Karki,59,Male,NC,23.08%,46.5,0,0,0,1,0,0,0.5,0.5,1,1,0,0
1,BHOJPUR,Nagarpalika,Bhojpur,26126,2373,1803,671,367,1803,2841,10.87%,159.51,46.18991917,0.880875969,398.9193353,325.3206058,334.1107529,280.6694786,194.8165815,216.7266323,228.5456855,77.86935604,145.0152482,110.6038133,108.981265,59.70309754,45.5,5,3,5,8.25,8.75,5,7,0,1,2.5,39.25,5.25,2,3.5,6,10.25,4,5,1.25,2,0,Kailash Kumar Ale,38,Male,NC,15.38%,45.5,0.5,0.5,0,0.5,1,0,0,0,0,0,0,0
1,BHOJPUR,Gaunpalika,Hatuwagadhi,16302,783,900,200,88,900,1188,7.29%,142.61,47.57316594,0.829675496,341.2706654,258.2000088,282.6066526,230.0177962,152.0031852,206.9692376,191.5027375,68.81496382,120.0247599,92.93762882,109.0294662,38.98865917,73,9,8,7,10,15,4,5,5,4,6,60.75,8,6.5,8,8,11.75,4,2.5,7,5,0,Prem Kumar Rai,52,Male,CPN-UML,38.46%,73,1,1,1,1,1,1,0,0,0,0,0,0
1,BHOJPUR,Gaunpalika,Pauwadungma,12170,804,541,121,88,541,750,6.16%,118.86,107.3916496,0.871149038,298.290801,231.3739623,341.096043,195.1401643,131.7796886,156.1394014,164.4695163,66.93039559,101.4380092,81.34117755,110.5999411,33.67978361,61.5,8,6,7,9.5,11,5,5.5,5.5,3,1,77.25,8.5,8,9,10,14.75,6,7,6.5,5.5,2,Kiran Rai,35,Male,CPN-UML,23.08%,61.5,1,0,0,0,0,0,1,0,1,0,0,0
1,BHOJPUR,Gaunpalika,Ramprasad Rai,15632,820,689,133,56,689,878,5.62%,158.43,46.00634966,0.772713833,367.4364425,288.26292,309.7917947,254.1161925,172.2208591,207.6310205,212.176933,58.2994575,130.7018562,88.50596378,117.0317092,46.44813074,58.25,8,6.25,8,9,10.5,5,3.5,2,5,1,73,8.5,7,9,8.5,12,6,7,5,7,3,Bijaya Rai,45,Male,CPN-UML,30.77%,58.25,0,0,0,0,0,1,1,0,0,1,0,1
1,BHOJPUR,Gaunpalika,Salpasilichho,12229,810,762,140,53,762,955,7.81%,193.33,26.67559324,0.716122411,397.5949838,336.7373969,324.5743437,301.0503839,211.4062984,243.0030198,256.224846,44.62724768,158.5279353,94.41175373,119.5582438,63.59264555,N/A,,,,,,,,,,,72.75,6.5,6,8,8.5,13.25,7,7,10,4.5,2,Mahesh Rai,44,Male,NC,15.38%,N/A,,,,,,,,,,,,
1,BHOJPUR,Nagarpalika,Shadananda,29777,1782,1646,354,184,1646,2184,7.33%,241.15,33.34993211,0.8001056,533.3083204,450.813775,440.5285544,395.2763444,287.0377171,309.7215735,330.3552896,83.45520886,219.1801446,138.7912186,161.6844856,86.14693389,71.5,7.5,7.5,9,8.75,14.25,6,6.5,7,3.5,1.5,68.25,7.5,8,8.5,9,12,6,8.25,5.5,2.5,1,Birbal Rai,54,Male,NC,23.08%,71.5,0.5,0,0,0,1,0,0,0,0,1,0,0
1,BHOJPUR,Gaunpalika,Tyamkemaiyung,15491,1282,843,172,111,843,1126,7.27%,173.41,33.46953215,0.760418147,378.4299524,317.1379212,315.0077797,286.7973893,190.218122,215.5135491,236.0147478,65.97322171,139.8203273,85.6481467,103.6814754,50.16576474,54.25,7,4.75,6.5,6.25,8.5,4,6.5,4,4,2.75,66.5,7.5,5.75,7.5,9,12,6,6,4,5,3.75,Dhurwa Raj Rai,35,Male,CPN-UML,30.77%,54.25,1,0.75,0,1,0,0,1,0.75,0,1,1,0
1,DHANKUTA,Gaunpalika,Chaubise,17914,956,1120,260,109,1120,1489,8.31%,147.6,57.820317,0.903907534,408.2396469,301.7215104,345.1223459,257.473348,172.224,212.6555001,218.6805555,61.00700665,141.5653467,112.4140994,108.2032197,55.76745177,72.25,8,6.75,8,10.5,12,7,7,7.5,3.5,2,78,8,5,8,10,13.5,7,9,10,5.5,2,Khajindra Rai,37,Male,CPN-UML,30.77%,72.25,0,0,0,1,0,1,1,0,0,1,0,0
